Seasons,G,AB,R,H,2B,3B,HR,RBI,SB,BB,SO,IBB,HBP,SH,SF,GIDP
13,594,1271,166,293,50,12,15,115.0,37.0,86,276.0,7.0,7.0,19.0,4.0,17.0
3,20,69,2,9,0,0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
22,703,1810,154,378,60,13,11,163.0,3.0,77,276.0,0.0,2.0,88.0,0.0,0.0
7,211,8,0,0,0,0,0,0.0,0.0,0,6.0,0.0,0.0,1.0,0.0,0.0
3,68,2,0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0
7,162,405,26,76,18,3,1,24.0,5.0,42,83.0,0.0,4.0,16.0,0.0,0.0
1,5,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,7,11,1,2,0,0,0,0.0,0.0,0,5.0,0.0,0.0,1.0,0.0,1.0
6,396,1286,125,332,53,4,40,154.0,17.0,59,468.0,10.0,36.0,0.0,3.0,26.0
11,592,14,0,2,0,0,0,2.0,0.0,0,8.0,0.0,0.0,1.0,0.0,0.0
14,1506,5385,777,1532,282,18,146,744.0,53.0,596,617.0,22.0,41.0,31.0,55.0,110.0
6,193,591,44,142,24,3,17,67.0,1.0,17,158.0,9.0,9.0,4.0,3.0,17.0
7,100,216,25,45,7,2,8,20.0,11.0,16,89.0,1.0,4.0,0.0,0.0,4.0
13,1341,3971,551,1031,189,53,47,422.0,81.0,500,624.0,26.0,48.0,49.0,45.0,74.0
8,512,1486,145,357,48,4,16,140.0,23.0,87,223.0,4.0,9.0,35.0,16.0,27.0
3,19,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
4,55,5,1,1,0,0,0,0.0,0.0,0,1.0,0.0,0.0,2.0,0.0,0.0
3,52,104,7,22,5,0,2,7.0,0.0,7,38.0,3.0,0.0,0.0,0.0,2.0
14,1139,3404,357,815,140,21,73,352.0,13.0,370,424.0,52.0,8.0,24.0,17.0,60.0
7,607,2216,338,534,77,45,14,306.0,53.0,297,221.0,0.0,13.0,6.0,0.0,0.0
1,9,22,3,3,1,0,0,0.0,0.0,3,7.0,0.0,1.0,0.0,0.0,0.0
1,3,3,1,1,0,0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0
5,204,31,0,4,1,0,0,0.0,0.0,1,16.0,0.0,0.0,2.0,0.0,0.0
8,116,344,44,70,19,2,12,41.0,3.0,42,137.0,6.0,1.0,0.0,2.0,4.0
7,267,851,102,229,44,8,14,84.0,15.0,63,173.0,2.0,4.0,5.0,5.0,23.0
8,481,1,0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0
15,1749,6332,1099,1848,320,79,351,1119.0,133.0,894,1556.0,138.0,16.0,19.0,53.0,164.0
3,27,28,5,7,2,0,2,2.0,0.0,4,12.0,0.0,0.0,0.0,0.0,1.0
17,1281,4418,623,1325,255,45,47,501.0,84.0,223,310.0,0.0,14.0,110.0,0.0,38.0
