playerID,Seasons,Wins,Losses,Games,Pitch_Starts,Complete_Games,Shutouts,Saves,Outs_Pitched,Hits,Earned_Runs,Home_Runs,Walks,Strikeouts,Batters_Faced,Games_Finished,Runs_Allowed
jacksmi02,17,62,67,1005,7,0,0,142,3565,983,451,127,464,1006,4966.0,422,492
jacksro03,10,28,34,280,18,1,0,34,1677,531,234,50,203,351,2366.0,111,260
jacksst01,2,2,4,51,0,0,0,0,163,55,26,6,28,28,241.0,13,31
jacksza01,5,4,5,22,17,0,0,0,316,131,68,15,34,63,481.0,3,74
jacobar01,1,0,0,1,0,0,0,1,3,2,1,0,1,0,6.0,1,1
jacobbe01,6,22,46,88,70,53,1,0,1837,618,217,11,148,195,2504.0,17,317
jacobbu01,3,1,2,22,1,0,0,0,121,43,22,1,20,15,183.0,16,23
jacobel01,13,50,81,250,133,65,9,7,3568,1223,469,40,423,336,5081.0,74,580
jacobla01,1,0,1,5,0,0,0,0,52,25,11,0,1,8,74.0,4,12
jacobto01,2,0,0,2,0,0,0,0,12,9,5,2,1,3,22.0,1,5
jacomja01,9,10,18,106,34,2,1,1,783,323,155,38,98,141,1166.0,23,161
jacqupa01,1,0,0,2,0,0,0,0,6,4,1,0,2,1,12.0,0,1
jacquto01,1,0,0,9,0,0,0,1,22,10,9,2,3,6,34.0,2,9
jaeckja01,1,1,0,4,0,0,0,1,24,4,0,0,3,2,28.0,3,0
jaegech01,1,3,3,8,6,5,0,0,147,49,14,0,15,13,209.0,2,29
jaegejo01,1,0,0,2,0,0,0,0,9,6,4,0,4,0,18.0,1,6
jaimeju01,2,0,1,18,0,0,0,0,41,14,9,1,13,19,70.0,5,9
jakubch01,3,8,10,69,15,1,0,0,498,186,103,26,56,99,725.0,17,108
jakucsi01,3,25,22,72,50,27,5,5,1233,431,173,28,131,131,1777.0,15,195
jamerle01,1,0,0,1,0,0,0,0,3,1,2,0,3,0,0.0,1,2
jamesbi01,15,65,71,203,147,68,9,4,3539,1110,420,16,578,408,4958.0,29,559
jamesbi02,4,37,21,84,61,44,5,2,1625,469,137,14,199,253,2217.0,20,196
jamesbo01,12,24,26,279,2,0,0,73,1221,377,172,39,157,340,1755.0,194,194
jamesch03,5,24,19,72,55,0,0,0,978,317,164,63,132,242,1410.0,3,169
jamesde01,1,0,3,8,6,0,0,0,103,40,25,5,15,17,150.0,2,25
jamesje01,2,6,6,35,18,2,1,0,443,148,74,13,60,104,637.0,6,81
jamesjo01,5,5,3,66,3,0,0,2,357,107,63,15,84,73,535.0,22,66
jamesjo02,4,8,1,73,6,0,0,1,320,80,55,18,61,158,461.0,24,57
jamesju01,1,0,0,5,0,0,0,0,12,7,2,0,4,5,23.0,3,2
jamesle01,3,2,6,31,11,4,0,1,287,94,36,0,45,36,404.0,10,59
jamesmi01,7,16,14,288,0,0,0,11,942,285,128,30,149,247,1366.0,86,144
jamesri01,1,0,1,3,1,0,0,0,14,9,7,1,2,2,21.0,0,8
jamiech01,5,2,1,13,3,1,0,0,144,55,33,0,30,7,226.0,8,41
janesje01,3,11,23,62,46,4,1,1,840,330,147,27,104,105,1246.0,4,168
janispa01,1,0,0,2,0,0,0,0,6,9,11,2,2,3,17.0,2,11
jankojo01,1,1,0,3,0,0,0,0,13,7,6,3,2,5,22.0,2,6
jannimi01,1,0,0,1,0,0,0,0,10,8,7,3,4,1,21.0,0,7
janseke01,12,37,26,701,0,0,0,350,2115,450,186,63,204,1022,2780.0,519,200
jansela01,9,122,89,291,237,107,17,10,5297,1751,703,191,410,842,7291.0,30,804
janssca01,9,31,29,437,22,0,0,90,1599,518,215,52,129,395,2227.0,199,231
janzema01,2,6,7,27,11,0,0,0,296,118,70,20,51,64,449.0,9,76
jarvike01,21,34,49,187,118,4,3,1,2342,937,523,149,262,453,3492.0,22,568
jarvipa01,8,85,73,249,169,42,8,3,3852,1180,511,106,380,755,5341.0,33,559
jarvira01,2,5,7,44,12,2,0,1,349,122,60,9,57,44,520.0,7,71
jaspehi01,4,10,12,52,23,8,0,1,713,210,92,3,99,96,934.0,16,124
jastela01,7,35,33,138,80,15,7,3,1794,579,242,69,178,313,2508.0,25,267
javeral01,7,53,74,205,147,61,15,5,3428,1164,483,44,452,470,4972.0,36,569
javiecr01,2,9,3,48,19,0,0,2,467,103,61,27,71,184,638.0,5,62
jaxgr01,1,4,5,18,14,0,0,0,246,82,58,23,29,65,360.0,2,62
jayemy01,1,1,2,5,2,0,0,0,38,18,17,2,10,4,71.0,0,18
jayjo01,15,99,91,310,203,63,16,7,4639,1460,648,153,607,999,6583.0,53,714
jayjo02,1,0,0,1,0,0,0,0,3,1,0,0,0,0,4.0,1,0
