playerID,yearID,inducted,category
longhe01,1946,N,Player
mageesh01,1946,N,Player
martipe01,1946,N,Player
nichoki01,1946,N,Player
phillde01,1946,N,Player
ruelmu01,1946,N,Player
sheckji01,1946,N,Player
simmoal01,1946,N,Player
southbi01,1946,N,Player
sparktu01,1946,N,Player
sullibi03,1946,N,Player
tanneje01,1946,N,Player
tennefr01,1946,N,Player
burkeje01,1946,Y,Player
chancfr01,1946,Y,Player
chesbja01,1946,Y,Player
eversjo01,1946,Y,Player
griffcl01,1946,Y,Player
mccarto01,1946,Y,Player
mcginjo01,1946,Y,Player
planked01,1946,Y,Player
tinkejo01,1946,Y,Player
wadderu01,1946,Y,Player
walshed01,1946,Y,Player
hubbeca01,1947,Y,Player
friscfr01,1947,Y,Player
cochrmi01,1947,Y,Player
grovele01,1947,Y,Player
traynpi01,1947,N,Player
gehrich01,1947,N,Player
maranra01,1947,N,Player
deandi01,1947,N,Player
pennohe01,1947,N,Player
bendech01,1947,N,Player
heilmha01,1947,N,Player
schalra01,1947,N,Player
vanceda01,1947,N,Player
bakerfr01,1947,N,Player
terrybi01,1947,N,Player
wheatza01,1947,N,Player
youngro01,1947,N,Player
woodjo02,1947,N,Player
roushed01,1947,N,Player
adamsba01,1947,N,Player
marquru01,1947,N,Player
foxxji01,1947,N,Player
cronijo01,1947,N,Player
simmoal01,1947,N,Player
fletcar01,1947,N,Player
cravaga01,1947,N,Player
hartnga01,1947,N,Player
rixeyep01,1947,N,Player
turnete01,1947,N,Player
dyered01,1947,N,Player
gelbech01,1947,N,Player
gomezle01,1947,N,Player
gowdyha01,1947,N,Player
haineje01,1947,N,Player
hargrbu01,1947,N,Player
kellyge01,1947,N,Player
lazzeto01,1947,N,Player
scottev01,1947,N,Player
pennohe01,1948,Y,Player
traynpi01,1948,Y,Player
simmoal01,1948,N,Player
gehrich01,1948,N,Player
terrybi01,1948,N,Player
wanerpa01,1948,N,Player
foxxji01,1948,N,Player
deandi01,1948,N,Player
heilmha01,1948,N,Player
dickebi01,1948,N,Player
maranra01,1948,N,Player
hartnga01,1948,N,Player
cronijo01,1948,N,Player
vanceda01,1948,N,Player
schalra01,1948,N,Player
lazzeto01,1948,N,Player
youngro01,1948,N,Player
roushed01,1948,N,Player
gomezle01,1948,N,Player
lyonste01,1948,N,Player
wheatza01,1948,N,Player
careyma01,1948,N,Player
wilsoji01,1948,N,Player
grimebu01,1948,N,Player
hoytwa01,1948,N,Player
martipe01,1948,N,Player
combsea01,1948,N,Player
grimmch01,1948,N,Player
marquru01,1948,N,Player
meusebo01,1948,N,Player
bendech01,1948,N,Player
dykesji01,1948,N,Player
