playerID,nameFirst,nameLast,weight,height,bats_L,bats_R,throws_L,throws_R,Seasons,Wins,Losses,Games,Pitch_Starts,Complete_Games,Shutouts,Saves,Outs_Pitched,Hits,Earned_Runs,Home_Runs,Walks,Strikeouts,Batters_Faced,Games_Finished,Runs_Allowed,finalGame,Retired_Years,inducted,yearID,Total_Games,Games_Started,Primary_Position,Hall_Eligible
rodrist02,Paco,Rodriguez,220.0,75.0,1,0,1,0,4,4,5,124,0,0,0,2,256,55,24,6,30,91,329.0,18,25,2015-05-29,6.956164383561644,N,0.0,124,0.0,Pitcher,not_eligible
rodriwa01,Wandy,Rodriguez,195.0,71.0,0,0,1,0,13,97,98,275,263,2,2,0,4672,1560,710,185,534,1281,6671.0,3,796,2015-07-28,6.791780821917809,N,0.0,280,263.0,Pitcher,eligible
rodriwi01,Wilfredo,Rodriguez,180.0,75.0,1,0,1,0,1,0,0,2,0,0,0,0,9,6,5,2,1,3,16.0,1,5,2001-10-04,20.613698630136987,N,0.0,2,0.0,Pitcher,not_eligible
rodriwi02,Wilking,Rodriguez,180.0,73.0,0,1,0,1,1,0,0,2,0,0,0,0,6,1,0,0,1,1,7.0,1,0,2014-06-06,7.934246575342466,N,0.0,2,0.0,Pitcher,not_eligible
roebued01,Ed,Roebuck,185.0,74.0,0,1,0,1,15,52,31,460,1,0,0,62,2373,753,294,90,302,477,3375.0,206,374,1966-07-07,55.88219178082192,N,0.0,460,1.0,Pitcher,eligible
roech01,Chaz,Roe,190.0,77.0,0,1,0,1,13,11,8,245,0,0,0,3,652,189,94,19,103,245,928.0,47,103,2021-04-02,1.106849315068493,N,0.0,245,0.0,Pitcher,not_eligible
roecl01,Clay,Roe,180.0,73.0,1,0,1,0,1,0,1,1,1,0,0,0,5,0,0,0,6,2,12.0,0,4,1923-10-03,98.67123287671232,N,0.0,1,1.0,Pitcher,not_eligible
roenijo01,Josh,Roenicke,205.0,75.0,0,1,0,1,8,8,3,190,0,0,0,2,661,218,102,19,117,168,980.0,40,115,2013-09-26,8.627397260273973,N,0.0,190,0.0,Pitcher,not_eligible
roepr01,Preacher,Roe,170.0,74.0,0,1,1,0,12,127,84,333,261,101,17,10,5743,1907,730,199,504,956,7904.0,42,799,1954-09-04,67.72876712328767,N,1960.0,333,261.0,Pitcher,eligible
roeslmi01,Mike,Roesler,195.0,77.0,0,1,0,1,2,1,1,22,0,0,0,0,93,27,13,5,11,18,127.0,7,13,1990-04-23,32.07123287671233,N,0.0,22,0.0,Pitcher,not_eligible
rogaljo01,Joe,Rogalski,187.0,74.0,0,1,0,1,1,0,0,2,0,0,0,0,21,12,2,0,0,2,30.0,2,4,1938-09-23,83.68767123287671,N,0.0,2,0.0,Pitcher,not_eligible
rogerbr01,Brian,Rogers,190.0,76.0,0,1,0,1,2,0,0,13,0,0,0,0,32,14,11,4,3,8,47.0,5,11,2007-05-26,14.96986301369863,N,0.0,13,0.0,Pitcher,not_eligible
rogerbu01,Buck,Rogers,164.0,68.0,0,1,1,0,1,0,1,2,1,0,0,0,30,16,8,0,6,7,53.0,1,15,1935-09-24,86.68767123287671,N,0.0,2,1.0,Pitcher,not_eligible
rogeres01,Esmil,Rogers,200.0,75.0,0,1,0,1,11,19,22,210,43,0,0,0,1362,533,282,60,180,386,2054.0,46,303,2015-06-12,6.917808219178082,N,0.0,221,43.0,Pitcher,eligible
rogerji02,Jimmy,Rogers,200.0,74.0,0,1,0,1,1,2,4,19,0,0,0,0,71,21,15,4,18,13,110.0,9,15,1995-09-27,26.638356164383563,N,0.0,19,0.0,Pitcher,not_eligible
rogerjo01,Josh,Rogers,210.0,75.0,1,0,1,0,3,3,5,14,9,0,0,0,185,67,38,16,25,33,276.0,1,38,2021-10-01,0.6082191780821918,N,0.0,14,9.0,Pitcher,not_eligible
rogerke01,Kenny,Rogers,200.0,73.0,1,0,1,0,22,219,156,762,474,36,9,28,9908,3457,1568,339,1175,1968,14280.0,133,1739,2008-09-14,13.663013698630136,N,2014.0,763,473.0,Pitcher,eligible
rogerke02,Kevin,Rogers,190.0,74.0,1,0,1,0,3,2,4,79,6,0,0,0,375,118,44,8,47,95,528.0,26,49,1994-05-01,28.046575342465754,N,0.0,79,6.0,Pitcher,not_eligible
rogerle01,Lee,Rogers,170.0,71.0,0,1,1,0,3,1,3,26,4,0,0,0,154,55,35,4,28,18,234.0,13,40,1938-09-29,83.67123287671232,N,0.0,28,4.0,Pitcher,not_eligible
rogerma01,Mark,Rogers,240.0,75.0,0,1,0,1,2,3,1,11,9,0,0,0,147,38,19,5,17,52,201.0,1,19,2012-08-31,9.6986301369863,N,0.0,12,9.0,Pitcher,not_eligible
rogerst01,Steve,Rogers,175.0,74.0,0,1,0,1,13,158,152,399,393,129,37,2,8513,2619,1001,151,876,1621,11702.0,3,1122,1985-05-19,37.0027397260274,N,1991.0,406,393.0,Pitcher,eligible
rogerta01,Taylor,Rogers,190.0,75.0,1,0,1,0,6,17,18,319,0,0,0,50,944,286,110,30,76,361,1296.0,88,121,2021-07-26,0.7917808219178082,N,0.0,319,0.0,Pitcher,not_eligible
rogerto01,Tom,Rogers,180.0,72.0,0,1,0,1,6,15,30,83,42,21,1,3,1244,431,182,15,162,94,1730.0,30,221,1921-10-01,100.67671232876712,N,0.0,84,42.0,Pitcher,not_eligible
rogertr01,Trevor,Rogers,217.0,77.0,1,0,1,0,2,8,10,32,32,0,0,0,483,139,58,11,59,196,680.0,0,66,2021-09-28,0.6164383561643836,N,0.0,33,32.0,Pitcher,not_eligible
rogerty01,Tyler,Rogers,181.0,75.0,0,1,0,1,3,12,4,126,0,0,0,16,380,117,36,7,22,98,519.0,28,42,2021-10-01,0.6082191780821918,N,0.0,126,0.0,Pitcher,not_eligible
roggecl01,Clint,Rogge,185.0,70.0,1,0,0,1,2,18,13,43,34,17,5,0,869,283,88,8,102,105,1188.0,8,115,1921-06-06,100.9972602739726,N,0.0,43,33.0,Pitcher,not_eligible
roggega01,Garry,Roggenburk,195.0,78.0,0,1,1,0,9,6,9,79,6,1,0,7,378,132,51,15,64,56,571.0,28,67,1969-07-27,52.824657534246576,N,0.0,79,6.0,Pitcher,not_eligible
rogovsa01,Saul,Rogovin,205.0,74.0,0,1,0,1,12,48,48,150,121,43,9,2,2651,888,399,83,308,388,3764.0,14,435,1957-06-19,64.93698630136986,N,0.0,154,121.0,Pitcher,eligible
rohrbi01,Billy,Rohr,170.0,75.0,1,0,1,0,2,3,3,27,8,2,1,1,182,61,38,9,32,21,276.0,7,43,1968-06-26,53.90958904109589,N,0.0,27,8.0,Pitcher,not_eligible
rohrle01,Les,Rohr,205.0,77.0,1,0,1,0,3,2,3,6,4,0,0,0,73,27,10,1,17,20,115.0,1,15,1969-09-19,52.67671232876712,N,0.0,6,4.0,Pitcher,not_eligible
rojasme01,Mel,Rojas,175.0,71.0,0,1,0,1,17,34,31,525,0,0,0,126,2001,591,283,65,254,562,2830.0,282,305,1999-07-01,22.876712328767123,N,0.0,525,0.0,Pitcher,eligible
rojasmi01,Minnie,Rojas,170.0,73.0,0,1,0,1,3,23,16,157,2,0,0,43,783,244,87,27,68,153,1086.0,95,102,1968-07-24,53.83287671232877,N,0.0,157,2.0,Pitcher,not_eligible
rolanji01,Jim,Roland,175.0,75.0,0,1,1,0,15,19,17,216,29,6,1,9,1351,357,161,34,229,272,1927.0,64,185,1972-09-16,49.68219178082192,N,0.0,217,29.0,Pitcher,eligible
rollida01,David,Rollins,210.0,73.0,1,0,1,0,2,1,2,31,0,0,0,0,103,49,29,5,15,27,165.0,13,29,2016-09-20,5.641095890410959,N,0.0,31,0.0,Pitcher,not_eligible
